RG. No.,Title,Arabic Title,I. No.,F. No.,Verified,Earliest autheniticaing mss.,Historic Ms.,Type of authentification,Incipit,Column1,Column2,Column3,Column4,Column5,Column6
150.9004,Sharḥ Fusūs al-ḥikam by al-Tilimsānī,,,,Commentary,,,,,,,,,,
150.9005,Sharḥ Fusūs al-ḥikam by al-Jandī,,,,Commentary,,,,,,,,,,
150.9009,Sharḥ Fusūs al-ḥikam by Kāshānī,,,,Commentary,,,,,,,,,,
150.9011,Sharḥ Fusūs al-ḥikam by al-Wirādī,,,,Commentary,,,,,,,,,,
150.9013,Sharḥ Fusūs al-ḥikam by Dāʾūd al-Qayṣarī,,,,Commentary,,,,al-ḥamdu lilaḥī al-ladhī  ʿayyana al-ʿayān bi-fayḍihi al-aqdas al-aqdam,,,,,,
150.9021,Sharḥ Fusūs al-ḥikam by al-Turka,,,,Commentary,,,,,,,,,,
150.9044,Tajalliyāt ʿarāʾis al-nuṣūṣ by al-Busnawī,,,,Commentary,,,,,,,,,,
150.9054,Jawāhir al-nuṣūṣ fī ḥall kalimāt al-fuṣūṣ,,,,Commentary,,,,,,,,,,
150.9024,Sharḥ al-Fuṣūṣ by Jāmī,,,,Commentary,,,,,,,,,,
214,Ḥall al-rumūz wa mafātiḥ al-kunūz,,,,Not IA.,,,,,,,,,,
226,Ḥarf al-miʿrāj,,,,Not IA.,,,,,,,,,,
268,Ijāz  al-bayān fī tarjama ʿan al-Qurʾān,,190,180,Verified A,622,,H,al-ḥamdu lillāh ʿalā munanihi wa iḥsānihi ḥamdan ṭayyiban kathīran mubārakan fīhi,,,,,,
282,K. al-Iʿlām fī mā buniya ʿalayhi al-Islām,,,,Unverified.,1004,,,,,,,,,
287,K. al-Inbāh ,,,,Commentary,"715
",,,,,,,,,
313.91,K. al-Najāt min hujūb al-ishtibāh,,,36,Commentary,,,,al-ḥamdu lillāh rabb al-ʿālamīn bijamīʿ ḥaqāʾiq al-ḥamd wa-raqāʾiqihi al-munbiʿāth ʿan al-ḥamīd,,,,,,
825,K. al-Waʿẓ bi al-aḥādīth al-nabawiyya,,,,Not IA.,1152,Y,C,,,,,,,
628,R. lil-shaykh al-akbar,,,,Unverified.,1000?,,,,,,,,,
676,Sharḥ al-Jaljalūtiyya,,,,Not IA.,,,,,,,,,,
622,R. Ibn ʿArabī,,,,Unverified.,>950,,,,,,,,,
315.91,Sharḥ al-Iṣṭilāḥat al-ṣūfiyya,,,,Commentary,,,,,,,,,,
835,Zād al-muqillīn wa sirāj al-ẓāliyyīn,,,,Not IA.,,,,,,,,,,
436,K. al-Wasāʾil by Ibn Sawdakīn,,,,Commentary,,,,,,,,,,
340,Kashf al-sitr li ahl al-sirr,,,,Not IA.,,,,"al-ḥamdu lillāh al-wāḥid al-aḥad al-qayyūm al-ṣamad
",,,,,,
481,Mishkāt al-maʿqūl,,,,Unverified.,1098,,,al-ḥamdu lillāh al-ḥayy al-azalī  al-qādir al-ḥakīm al-munshī al-khāliq al-ʿalīm ,,,,,,
775,R. al-Tawḥīd,,,,Not IA.,,,,,,,,,,
553,R. fī al-nuʿūt al-ilāhiyya,,,,OY duplicate.,,,,,,,,,,
410,Manqubat mawlid al-Nabī,,,,Unverified.,1100,,,al-ḥamdu lillāh al-ladhī iftataḥa ʿālam al-tadbīr wa-l-imkān,,,,,,
87,Faṣl fī bayān aqsām maʿānī al-asmāʾ al-ḥusnā,,,,Unverified.,881,,,,,,,,,
644,Safīr al-ilhām,,,,Unverified.,1099,,,al-ḥamdu lillāh al-ladhī afāḍa ʿalā qulūb awliyāʾihi min nafaḥāt fayḍ ,,,,,,
405,K. Manāhij al-irtiqāʾ,,13,13,Extract.,,,,,,,,,,
59,al-Astār wa al-kibrit al-aḥmar,,,,OY duplicate.,,,,,,,,,,
422,Marātib al-wujūd,,,,Not IA.,,,,,,,,,,
692,K. Shujūn al-masjūn wa-futūn al-maftūn,,,,Unverified.,959,,,"al-ḥamdu lillāh alladhī khalaqa al-insān min ṭīn, thumma jaʿala faslahu min silālatin min māʾ muhīn...",,,,,,
675,Sharḥ al-asmāʾ al-ḥusnā wa taḥqīqātihā bi al-basmala al-sharīfa wa al-fātiḥa lī Shaykh al-Akbar,,,,Unverified.,>950,,,,,,,,,
51,K. al-Asrār al-thalātha,,,,Unverified.,1004,,,,,,,,,
221,Ḥaqq al-waqt,,,,Not IA.,,,,,,,,,,
366,R. Lawāmiʿ al-anwār,,272,,Not IA.,,,,,,,,,,
99,al-Dawḥa al-rabbāniyya al-qudsiyya,,,,Not IA.,,,,"Iʿlam an al-laṭāif allatī yuqawwimu bihā al-insān thalātha, ʿaql wa-wahm wa-ḥiss...",,,,,,
447,Mawʿiẓat al-albāb,,,,Unverified.,977,,,,,,,,,
347.1,al-Kawkab al-durrī fī manāqib Dhū’l-Nūn al-Miṣrī,,,,Verified B.,712,,,,,,,,,
615,R. fī ayy al-dhikr afḍal,,,,Not IA.,,,,,,,,,,
760,Tamhīd al-tawḥīd,,,,Not IA.,,,,,,,,,,
836,K. al-Zahr al-fāʾiḥ fī sitr al-ʿuyūb wa al-qabāʾiḥ,,,,Not IA.,,,,,,,,,,
123,K. al-Falak wa-l-samāʿ,,86,83,Extract.,>700,,,,,,,,,
305,Al-Ishārāt ilā sharḥ al-asmāʾ wa al-ṣifāt ,,,,Extract.,,,,,,,,,,
244.9,Sharḥ ḥizb al-wiqāya,,,,Commentary,,,,,,,,,,
528.9,Commentary upon Naqsh al-Fuṣūṣ,,,,Commentary,,,,,,,,,,
661,K. al-Sulūk fī ṭarīq al-qawm ,,,,Not IA.,,,,,,,,,,
746,Taḥdhīr dhawī al-taskhīr,,,,Unverified.,nd,,,al-ḥamdu lillāh musakkir al-shams wa-musakhkhin ḍuḥāha,,,,,,
763,al-Tanbīhāt,,,,Unverified.,826,,,,,,,,,
23,K. al-ʿālam,,,,No mss.,,,,,,,,,,
58,Fī maʿrifa asrār takbīrāt al-ṣalāt,,,,Extract.,,,,,,,,,,
204,K. Hayākil al-anwār,,,,No mss.,nd,,,,,,,,,
368.1,K. al-Lawāqiḥ al-anwār,,,,Verified B,,,,,,,,,,
424,R. fî maʿrifat Allāh,,,,OY duplicate.,,,,,,,,,,
519,Nafāʾis al-ʿirfān,,,,Not IA.,,,,,,,,,,
801,Uns al-munqatʿīn,,,,Extract.,,,,,,,,,,
837,Zaynabiyyāt,,,,No mss.,,,,,,,,,,
815,K. al-Fatq wa al-ratq,,,,Not IA.,,,,,,,,,,
372,Al-Lumʿa al-mawsūma bi kashf al-ghiṭāʾ,,,,Not IA.,, ,,,,,,,,
663,K. al-Shaʿāʾir,,,,Not IA.,,,,,,,,,,
172,al-Jamʿ wa al-tafṣīl fī asrār maʿānī al-ṭanzīl,,7,6,No mss.,,,,,,,,,,
278,Ikhtiṣār Muslim,,2,1,No mss.,,,,,,,,,,
738.91,R. Sharḥ tajalliyāt al-shaykh al-akbar,,,,Commentary,,,,,,,,,,
669,K. al-Shamāʾil al-Nabī,,,,OY duplicate.,,,,,,,,,,
704,al-Ṣalāt ʿalā al-Nabī,,,,Unverified.,>1100,,,Allāhumma ṣalli ʿalā al-nūr al-awwal wa-l-sirr al-anzah al-akmal,,,,,,
518,K. al-Muwāzanāt,,,,Unverified.,1043,,,al-ḥamdu lillāh al-kāshif laṭāʾif al-asrār li-arbāb al-himam al-abṣār,,,,,,
179,Jawāb ʿan masʾalat al-sabḥa al-sawdāʾ,,,,Unverified.,>950,,,Jawāb ʿan masʾalāt al-sabḥa al-sawdāʾ wa-hiya al-hayūlā.,,,,,,
533,R. al-Nashʾatayn,,218,208,OY duplicate.,896,,,,,,,,,
434,K. al-Masāʾil al-thalāth ,,,,OY duplicate.,,,,,,,,,,
707,Ṣalawāt sharifa,,,,Unverified.,994,,,,,,,,,
734.1,Tafsīr sūrat Yusūf,,,,OY duplicate.,,,,,,,,,,
5.1,Adʿiyat al-shaykh al-akbar,,,,OY duplicate.,,,,,,,,,,
328,Kanz al-jawāhir fī maẓāhir al-awākhir,,,,Unverified.,>950,,,,,,,,,
430,R. fī maʿrifat sayr rijāl al-ghayb,,,,Extract.,,,,,,,,,,
325,Kalimāt fī faḍāʾil al-futuwwa,,,,Unverified.,1084,,,,,,,,,
638,R. Rūḥ al-quds al-wārida min sidrat al-muntahā,,,,Unverified.,>1100,,,,,,,,,
135.1,Extracts from al-Futuḥāṭ al-Makkiyya,,,,Additional category,,,,,,,,,,
135.2,ʿAqīda,,,,Additional category,,,,,,,,,,
135.4,Chapter 558 of Futūḥāt,,,,Additional category,,,,,,,,,,
900,R. fī qawlihi (SA)  al-nās yanāmu fa-idhā mātū antabahū,,,,Unverified.,1002,,,,,,,,,
150.9003,al-Fukūk by SQ,,,,Commentary,,,,,,,,,,
150.9018,Kitāb Naṣṣ al-Nuṣūṣ dar sharḥ Fuṣūṣ al-ḥikam by Amoli,,,,Commentary,,,,,,,,,,
382,K. al-Mabāḥith al-mutaʿalliqa bi al-asmāʾ al-ḥusnā,,,,Extract.,,,,,,,,,,
785,Thalātha masāʾil lil-Shaykh al-Arabī ,,,,OY duplicate.,,,,,,,,,,
496,K. Mukhtaṣar al-Durrat al-fākhira,,,,Verified B,,,,,,,,,,
621.1,R. fī al-taṣawwuf,,,,OY duplicate.,,,,,,,,,,
827,Wird al-aḥadiyya,,,,OY duplicate.,,,,,,,,,,
828,Wird al-iʿtiṣām,,,,OY duplicate.,,,,,,,,,,
829,Wird al-maʿrifa,,,,OY duplicate.,,,,,,,,,,
830,Wird al-nūr,,,,OY duplicate.,,,,,,,,,,
831,Wird al-qurba,,,,OY duplicate.,,,,,,,,,,
832,Wird al-saṭwa,,,,OY duplicate.,,,,,,,,,,
731,Tafsīr al-Fātiḥa,,,,Unverified.,886,,,,,,,,,
135.3,Chapter 560 of Futūḥāt,,,,Additional category,,,,,,,,,,
348,R. fī kayfiyyat aḥwāl rijāl Allāh,,,,Extract.,,,,,,,,,,
566,al-Qaṣīda al-tāʾiyya,,,,Not IA.,915,,,,,,,,,
494,Muhayminiyyāt Ibn ʿArabī,,,,Unverified.,1021,,,,,,,,,
737.91,Kashf tāj al-tarājim wa īḍāḥ maʿnāhi min dāʾirat al-jūd wa marāḥim,,,,Commentary,,,,,,,,,,
564.1,Qaṣāʾid,,,,Unverified.,nd,,,,,,,,,
112,Duʿāʾ ʿaẓīm mubārak ,,,,Unverified.,|>1100,,,,,,,,,
109,Duʿāʾ al-ism al-aʿẓam,,,,Unverified.,>1100,,,,,,,,,
113,Duʿāʾ sūrat al-Ikhlāṣ,,,,Unverified.,>1100,,,,,,,,,
102.1,Fragments of poetry,,,,Additional category,,,,,,,,,,
180,Jawāb ʿan masʾalat al-zumurruda al-khaḍrāʾ,,,,Unverified.,1202,,,Jawāb ʿan masʾalāt al-zumurruda al-khaḍrāʾ ,,,,,,
442,Mawāqiʿ al-ilhām min nafaḥāt al-faḍl wa al-al-ilhām,,,,Not IA.,,,,,,,,,,
473,R. al-Miʿrāj,,,,Not IA.,,,,,,,,,,
203,K. Hatk al-astār fī ʿilm kashf al-asrār,,,,Not IA.,,,,,,,,,,
463,Minhāj al-ʿārif al-muttaqī wa miʿrāj al-sālik al-murtaqī,,,,Not IA.,959,,,,,,,,,
599,Rashḥ al-zulāl fī sharḥ al-alfāẓ al-mutadāwala bayna arbāb al-adhwāq wa al-aḥwāl,,,,Commentary,,,,al-ḥamdu lillāh al-ladhī ajrī ʿalā al-sunna ahl lugha mukhātibūn bihā al-ahl?,,,,,,
749,Takhmīs al-abyāt,,,,Not IA.,,,,,,,,,,
768,Tartīb al-sulūk ilā malik al-mulūk,,,,Unverified.,1238,,,,,,,,,
844,Extracts,,,,Extract.,,,,,,,,,,
432.91,K.Sharḥ Mashāhid al-asrār by Sitt al-ʿAjam,,,,Commentary,,Y,,,,,,,,
333,Kashf al-ḍamīr min aḥruf al-taksīr,,,,Unverified.,">950
",,,,,,,,,
647,Sayr al-hilāl,,,,Unverified.,>900,,,,,,,,,
554,K. Nuzhat al-naẓar fī al-mawāʿiẓ wa al-ʿibar,,,,Unverified.,>900,,,,,,,,,
289,K. Inshāʾ al-dawāʾir,,,,Verified A,655,Y,C,,,,,,,
552,al-Nuṣūṣ,,,,Not IA.,,,,al- ḥamdu lillāhi al-ladhi abāna bi-mustaqarrāt al-himam marātib ‘ilm al-yaqīn,,,,,,
568,Qaṣīda fī al-kīmiyāʾ,,,,OY duplicate.,,,,,,,,,,
102.2,Fragments of poetry from the Dīwān,,,,Additional category,,,,,,,,,,
30.9,Commentaries on al-ʿAnqā Mughrib ,,,,Commentary,,,,,,,,,,
610,Al-Risāla al-qudsiyya fī asrār al-nuqṭa al-ḥissiyya,,,,Not IA.,,,,,,,,,,
591,K. al-Raḥīq al-makhtūm,,,,Not IA.,,,,,,,,,,
341,Kashf ilāhī ilā qalb ,,,,Not IA.,,,,,,,,,,
332.1,Kashf al-astār ʿan khawāṣṣ al-asrār,,,,Unverified.,,,,,,,,,,
406.2,Manāzil al-Sāʾirīn,,,,Not IA.,,,,,,,,,,
444,Mawāqif al-ghāyāt fī asrār al-riyāḍāt,,,,Not IA.,,,,al-ḥamdu lillāh rafaʿa ḥujub astār al-asrār ʿan ḥaqāʾiq baṣāʾir al-muqarrabīn,,,,,,
723,R. fī Tafṣīl al-qaḍāʿ wa al-qadar ,,,,Not IA.,,,,,,,,,,
110,Duʿāʾ al-tawassul,,,,,,,,,,,,,,
739,Tajalliyāt ʿarāʾis al-nuṣūṣ by al-Busnawī,,,,Not IA.,,,,,,,,,,
543,Nazm al-laʾāl fī ikhrāj jawāb kulli suʾāl,,,,Unverified.,>900,,,,,,,,,
705,Ṣalawāt al-akbariyya,,,,Unverified.,,,,,,,,,,
648,K. al-Sayr wa al-sulūk ilā malik al-mulūk,,,,Not IA.,,,,,,,,,,
702.9,Sharḥ ṣalat al-fayḍiyya ,,,,Commentary,,,,,,,,,,
263.1,al-Khuṭba fī naḍad al-ʿālam,,,,OY duplicate.,,,,,,,,,,
614.3,Faṣl fī bayān aqsām maʿānī al-asmāʾ al-ḥusnā ilā ʿasharat al-aqsām,,,,OY duplicate.,,,,,,,,,,
379,Maʿārij al-quds,,,,Additional category,,,,,,,,,,
259,R. al-Khawf wa-l-rajāʾ,,215,205,Unverified.,,,,,,,,,,
565.2,al-Qaṣīda al-ʿishqiyya,,,,Unverified.,,,,,,,,,,
808.1,Risāla min uṣūl al-ẓāhiriyya,,,,Additional category,,,,,,,,,,
471,Mimmā wujida,,,,Extract.,,,,,,,,,,
370,K. al-Lawḥ,,,,Spurious,,,,,,,,,,
633,K. al-Waʿẓ bi al-aḥādīth al-nabawiyya,,,,OY duplicate.,,,,,,,,,,
150.9015,Sharḥ Fusūs al-ḥikam by al-Hamadānī (d.786),,,,Commentary,,,,,,,,,,
400,K. al-Malḥama,,,,Unverified.,,,,,,,,,,
115,Duʿāʾ yawm al-ʿArafa,,,,Extract.,,,,,,,,,,
150.9072,Nuṣūṣ al-khuṣūṣ fī tarjamat al-fuṣūṣ ,,,,Commentary,,Y,,,,,,,,
237.9,Commentary on Hilyāt al-abdal,,,,Commentary,,,,,,,,,,
380.1,K. al-Mabādī wa al-ghayāt (2),,46,45,Not IA.,600,,A,,,,,,,
482,K. al-Mizān fī ḥaqīqat al-insān,,27,26,OY duplicate.,,,,,,,,,,
