RG. No.,Title,Arabic Title,I. No.,F. No.,Verified,Earliest autheniticaing mss.,Historic Ms.,Type of authentification,Incipit,Column1,Column2,Column3,Column4,Column5,Column6
782,Tuḥfat al-safara ilā ḥaḍrat al-barara,,,,Not IA.,,,,,,,,,,
332,Kashf al-asrār wa hatk al-astār,,,,Not IA.,,,,,,,,,,
354,R. al-Kutub,,,,Verified B.,<700,Y?,,salām ʿalā walī fi-llāh taʿālā Abū’l-Qasam al-ʿImād ,,,,,,
772,R. al-Tawajjuh al-atamm,,,,Not IA.,,,,,,,,,,
702,al-Ṣalāt al-fayḍiyya,,,,Probable IA.,1141,,,,,,,,,
443,Mawāqiʿ al-nujūm ,,47,46,Verified A.,<638,Y,A,al-ḥamdu lillāh al-ḥayy al-qayyūm al-muqsim bimawāqiʿ al-nujūm ,,,,,,
249,Māhiyyat al-qalb (K. al-Ḥulal),,,,Unverified.,837,,,,,,,,,
33,R. al-Anwār (K. Asrār al-khalwa),,63,60,Verified A.,651,Y,C,al-ḥamdu li wāhib al-ʿaql wa-mubdiʿhi,,,,,,
67,K. Ayyām al-shaʾn,,133,123,Verified A.,603,Y,H,al-ḥamdu lillāh al-ʿalī al-shaʾn al-ʿaẓīm al-sulṭān ,,,,,,
142,Fihris muʾallafāt al-shaykh al-akbar,,,,Verified A.,<638,Y,C, ,,,,,,
315,al-Iṣṭilāḥāt al-Ṣūfiyya,,,,Verified A.,637,Y,C,,,,,,,
745,Tahḍhīb al-akhlāq,,72,201,Not IA.,,,,,,,,,,
13,R. al-Aḥadiyya,,,,Not IA.,,,,,,,,,,
247,K. al-Ḥujub,,70,65,Verified A.,668,Y,C,al-ḥamdu lillāh al-ladhī ḥajabnā bihi ʿanhu ,,,,,,
565,K. al-Qasam al-ilāhī bi al-ism al-rabbānī,,58,55,Verified A.,761,Y,C,"al-ḥamdu lillāh rabbi al-ʿālamīn wa-l-ʿāqibatihi lil-muttaqīn, wa-ṣallī…",,,,,,
307,K. al-Isfār ʿan natāʾij al-asfār,,154,139,Verified A.,<638,Y,H,al-ḥamdu lillāh al-kāʾin fi-l-ʿamā al-mawṣūf bi-l-istiwāʾ jalāl dhātihi ,,,,,,
26,K. al-Alif wa-huwa kitāb al-aḥadiyya,,79,74,Verified A.,621,Y,A,,,,,,,
168,K. al-Jalāl wa-l-jamāl,,60,56,Verified A,<615,Y,H,al-ḥamdu lillāh al-ʿaẓīm jalāluhu al-mahbūb (li-ẓuhūr) jamāluhu al-baʿīd fī dunūhi al-qarīb fī sumūhi ,,,,,,
281,K. al-Iʿlām bi ishārāt ahl al-ilhām,,22,22,Verified A.,782,Y,C,hadhā kitāb al-Iʿlām,,,,,,
294,R. al-Intiṣār,,,,Verified B.,703,Y?,,al-ḥamdu lillāh wa-salāmahu ʿalā ʿibādihi alladhīna iṣṭafā ,,,,,,
433,K. al-Masāʾil,,191,191,Verified A.,<658,Y,C,al-ḥamdu lillāh muḥayyir al-ʿuqūl fī natāʾij al-himam,,,,,,
528,Naqsh al-Fuṣūṣ,,,,Verified A.,650,Y,C,iʿlam an al-asmāʾ al-ilāhiyya al-ḥusnā yaṭlaba bi-dhawātihā wujūd al-ʿālam,,,,,,
585,K. al-Quṭb wa-l-imāmayn,,54,,Verified A.,825,Y,C,"al-ḥamdu lillāh rabbi al-ʿālamīn wa-l-ʿāqibatihi lil-muttaqīn, wa-lā ḥawla…",,,,,,
817,K. al-Waṣāya,,,,OY duplicate.,1002,,,,,,,,,
820,K. al-Waṣiyya,,,,Probable IA.,,,,,,,,,,
91.1,Al-Bulgha fī al-ḥikma,,,,Unverified.,,,,,,,,,,
802,ʿUqlat al-mustawfiz,,19,19,Verified A.,<638,Y,H,al-ḥamdu lillāh al-ladhī iftataḥa wujūd al-siwā bi-l-arwāh al-muhayyamiyya al-makhlūqa ,,,,,,
178,Jawāb ʿan masʾalat al-durra al-bayḍāʾ ,,,,Unverified.,,,,,,,,,,
195,K. al-Ghāyāt ,,174,164,Unverified.,1004,,,al-ḥamdu lillāh al-ladhī adhhaba ʿannā al-ḥuzn an rabbunā li-ghafūr shakūr,,,,,,
28,K. al-Amr al-muḥkam,,62,51,Verified A.,724,Y,C,al-ḥamdu lillāh alladhī hadānā li-hadhā wa-mākanā… ,,,,,,
177,K. al-Jawāb al-mustaqīm ʿammā saʾala,,,,Verified A.,617?,Y,H,,,,,,,
230,K. Ḥawd al-ḥayāt,,,,Not IA.,,,,,,,,,,
233,K. al-Ḥikam,,,204,Unverified.,1030,,,,,,,,,
642.2,K. Sāʿat al-khabar,,,,Not IA.,,,,,,,,,,
666,Shajarat al-kawn,,,,Not IA.,,,,al-ḥamdu lillāh al-aḥadī al-dhāt al-fardī al-ṣifāt al-ladhī taqaddasa ,,,,,,
39,Al-Arbaʿūna ṣaḥīfa,,,,No mss.,,,,,,,,,,
806,R. fī Uṣūl al-fiqh,,,,Unverified.,,,,,,,,,,
588,K. Radd maʿāni al-āyāt,,,,Not IA.,,,,,,,,,,
451,Mawlid al-Nabī,,,,OY duplicate.,,,,,,,,,,
423,K. Marātib ʿulūm al-wahb,,203,,Verified A.,823,Y,C,al-ḥamdu lillāh munaffikh al-fuhūm wa-fātiḥ maghāliq al-ʿulūm ʿan sirr al-maktūm,,,,,,
816,K. al-Waṣāʾil,,,185,Extract.,,,,,,,,,,
120,K. Faḍl shahādat al-tawḥīd,,,,Not IA.,,,,,,,,,,
102,al-Dīwān al-kabīr,,,,Verified A.,634,Y,H,,,,,,,
671,K. Shaqq al-jayb,,,,Unverified.,,,,al-ḥamdu lillāh rabb al-ʿālamīn waffaqnī lil-sibāḥa fī yamm al-yaqīn,,,,,,
271,Ijāzat al-shaykh al-akbar ,,,,Verified A.,629,Y,A,,,,,,,
116,K. al-Dhakhāʾir wa-l-aʿlāq,,,184,Verified A.,640,,C,istikharātu lillāh wa-qayyidtu fī hadhā al-awrāq ,,,,,,
833,K. al-Wujūd,,134,124,No mss.,,,,,,,,,,
808,Uṣūl al-ʿuqūl,,,,Not IA.,,,,,,,,,,
480,K. Mishkāt al-anwār fī mā ruwiya ʿan Allāh,,30,30,Verified A.,678,Y,C,"al-ḥamdu lillāh rabbi al-ʿālamīn wa-l-ʿāqibatihi lil-muttaqīn, wa-lā ḥawla…",,,,,,
684,Sharḥ khuṭbat kitāb Mashāhid  al-asrār,,,,Commentary,,Y,,,,,,,,
582.1,Qurāḍat al-ʿAsjad fī maʿrifat al-Ḥajar al-mufrad,,,,No mss.,,,,,,,,,,
34,ʿAqīdat ahl al-Islām,,,,Extract.,,,,,,,,,,
718,K. Tadhkirat al-khawāṣṣ ,,,,Not IA.,,,,,,,,,,
1001,K. al-Kamālāt al-ilāhiyya fi-l ṣifāt al-Muḥammadiyya,,,,Not IA.,,,,,,,,,,
427,R. fī Maʿrifat al-nafs wa al-rūḥ,,,,Unverified.,,,,,,,,,,
510,R. al-Mūqiẓa,,,,Not IA.,777,,,,,,,,,
477.1,Miṣbāḥ al-iṣbāḥ,,,,Not IA.,,,,,,,,,,
371.1,Lubb al-lubb,,,,Commentary,,,,,,,,,,
626,Risāla ilā aṣḥāb al-Shaykh al-Mahdawī                                                 ,,,,Extract.,,,,,,,,,,
847,Jawāban wa naṣīhan lil-Sultān ʿIzz al-dīn al-Ghālib bi amr Allāh Kaykaʾūs,,,,"Verified B.
.",672,,,,,,,,,
62,R. fī Awjuh al-qalb,,,,Extract.,,Y?,,,,,,,,
757,al-Tāʾiyya,,,,Unverified.,876,,,al-ḥamdu lillāh rabb al-ʿizzati ʿammā yaṣifuhu aʿlam al-imkān,,,,,,
761,Al-Tanazzulāt al-layliyya fī al-aḥkām al-ilāhiyya,,,,OY duplicate.,,,,,,,,,,
46,R. fī Asrār al-ḥaḍra al-ilāhiyya,,,,Not IA.,,,,,,,,,,
571,Al-Qawl al-nafīs fī taflīs Iblīs,,,,Not IA.,,,,,,,,,,
769,R. fī Tartib al-taṣawwuf wa aṭwārihi,,,,Unverified.,,,,,,,,,,
818,Waṣāya al-shaykh al-akbar,,,,Extract.,,,,,,,,,,
732,Tafsīr al-Qurʾān,,,,Not IA.,,,,,,,,,,
274,Al-sifr al-sādis min Ṣaḥīḥ al-Bukhārī,,3,,Not IA.,,,,,,,,,,
428,R fī Maʿrifat laylat al-qadr,,,,Probable IA.,673?,Y?,,,,,,,,
502,Munājāt al-Raḥmān bi āyāt al-Qurʾān,,,,Unverified.,,,,,,,,,,
194,R. al-Ghawthiyya,,,,Not IA.,,,,,,,,,,
217,Ḥaqīqat al-ḥaqāʾiq,,,,Not IA.,,,,al-ḥamdu lillāh al-ladhī jaʿala al-mawjūdāt ʿalā wujūdihi dalīlan,,,,,,
602,Rijāl al-ghayb,,,,Extract.,,,,,,,,,,
668,K. al-Shāhid wa al-mushāhad,,227,216,No mss.,,,,,,,,,,
448,al-Mawʿiẓa al-ḥasana,,43,42,Unverified.,962,,,,,,,,,
101,Dīwān al-maʿārif al-ilāhiyya,,75,70,Extract.,700?,,,al-ḥamdu lillāh alladhī khalaqa al-insān ʿalā al-bayāna (?) wa-itrāk al-maqādīr wa-l-awzān,,,,,,
485,R. al-Mubashshirāt,,76,71,Verified A.,<673,Y,C,"al-ḥamdu lillāh rabbi al-ʿālamīn wa-l-ʿāqibatihi lil-muttaqīn, wa-ṣallī Allāh… ",,,,,,
386,K. Mafātiḥ al-ghuyūb,,122,113,Verified A.,621,Y,A,al-ḥamdu lillāh al-munfarid bi-ʿilm al-mafātiḥ al-uwal ,,,,,,
253.1,Khalʿ al-naʿlayn fī al-uṣūl ilā ḥaḍrat al-jamʿayn,خلع النعلين في الاصول الى حضرة الجمعين,,,Not IA.,,,,al-ḥamdu lillāh al-ladhī awjada bi-l-ḥarfayn,,,,,,
150.9002,Sharḥ al-faṣṣ al-Idrīsī  by Ibn Sawdakīn,,,,Commentary,,,,,,,,,,
380,K. al-Mabādī wa al-ghayāt (1),,46,45,Verified A,600,,A,,,,,,,
9,K. al-Ajwiba,,,191,Verified B.,<700,Y,,al-ḥamdu lillāh al-ladhī hadānā lihadhā wa-mā…,,,,,,
56,Asrār al-Qurʾān,,,,Extract.,,,,,,,,,,
77,Baḥr al-shukr fī nahr al-fikr,,,,Not IA.,,,,,,,,,,
209,Ḥaḍrat al-ḥaḍarāt,,,,Extract.,,,,,,,,,,
256,Khātimat risālat al-radd ʿala al-yahūd,,,,Not IA.,,,,,,,,,,
342,Kashf sirr al-waʿd wa bayān ʿalāmat al-wajd,,,,Not IA.,,,,,,,,,,
387,Majmaʿ khuṭab Ibn ʿArabī,,,,Extract.,<700,,,,,,,,,
425,R. fī maʿrifat al-asmāʾ al-ḥusnā,,,,Extract.,,,,,,,,,,
472,R. al-Miqdar fī nuzūl al-jabbār,,,,Not IA.,,,,,,,,,,
539,Nathīr al-bayāḍ fī rawḍat al-riyāḍ,,,,Not IA.,,,,,,,,,,
542,Naẓm al-futūḥ  al-Makkī,,,,Extract.,,,,,,,,,,
551,Nuskhat al-ḥaqq,,,,Verified A.,621,Y,A,al-ḥamdu lillāh al-ladhī jaʿala al-insān al-kāmil muʿallim al-malak ,,,,,,
681,Sharḥ Khalʿ al-naʿlayn,شرح خلع النعلين,,,Verified A.,640,Y,C,al-hamdu lillahī rabb al-ʿālamīn arād al-ḥamd al-muqayyid,,,,,,
689,K. Shawāhid al-ḥaqq fī al-qalb,,53,,Verified A.,617,Y,H,,,,,,,
169,K. al-Jalāla,,87,76,Verified A.,615,Y,H,al-ḥamdu lillāh billāh ḥamdan ,,,,,,
288,Inkhirāq al-junūd ila al-julūd wa infilāq al-shujūd ila sujūd,,,,Not IA.,,,,,,,,,,
262,Khurūj al-shukhūṣ min burūj al-khuṣūṣ,,,,Not IA.,,,,,,,,,,
5,Ādāb al-sulūk fī al-khalwa,,,,OY duplicate,,,,,,,,,,
6,K. al-Adhkār,كتاب الاذكار وهو اربعون ذكرا,,,Unverified.,1011,,,الحمد لله الذي اذاق قلوب الذاكرين حلاوة... وبعد فإني رأيت ذكر الله جل ذكره هو العروة الوثقي في الطريق,,,,,,
18,ʿAyn al-aʿyān,,,,Not IA.,,,,,,,,,,
710,al-Ṣuḥuf al-nāmūsiyya,,,,Not IA.,,,,,,,,,,
297,K. al-ʿIqd al-manẓūm,,,,OY duplicate.,,,,,,,,,,
149,Fuṣūl  min kitāb al-masāʾil,,,,Extract.,,,,,,,,,,
384,Madkhal fi ʿilm al-ḥurūf,,,,Probable IA.,725,Y,,,,,,,,
402,R. al-Maʿlūm min ʿaqāʾid ʿulamāʾ al-rusūm,,66,62,Verified A.,762,Y,C,,,,,,,
411,Manzil al-ʿārif al-Jibrāʾīlī,,,,Extract.,,,,,,,,,,
413,K. Maqām al-maʿrifa,,,,Extract.,,Y?,,,,,,,,
470,Min khuṭab al-shaykh al-akbar,,,,Unverified.,724,,,,,,,,,
517,Al-Muwashshaḥāt al-ilāhiyya wa-l-azjāl,,,,Verified A,777,Y,C,,,,,,,
631,Risāla mutaʿalliqa bi al-qalb,,,,OY duplicate.,791,,,,,,,,,
701,R. fi al-Ṣalāt,,,,Not IA.,,,,,,,,,,
786,Thawāb qaḍāʿ ḥawāʾij al-ikhwān,,,,OY duplicate.,,,,,,,,,,
803,K. al-ʿUrūsh,,257,,Not IA.,,,,,,,,,,
821,Waṣiyya fī kayfiyyat ḥuṣūl al-maʿrifa al-quṣwā,,,,Probable IA.,777,,,,,,,,,
826,R. fī al-Waʿẓ li baʿḍ aḥbābihi,,,,Verified A,1005,Y,C,,,,,,,
105,al-Durrat al-fākhira  ,,45,44,OY duplicate.,715,Y,,"al-ḥamdu lillāh rabbi al-ʿālamīn wa-l-ʿāqibatihi lil-muttaqīn, wa-lā ḥawla…",,,,,,
104.1,Al-Durra al-bāḍiʿa fī kashf ʿulūm al-jafr al-jāmiʿa,,,,Not IA.,,,,,,,,,,
418,Maqṣid al-asmāʾ,,,,Verified A.,621,Y,A,al-ḥamdu lillāh wa-huwa nafsu al-ḥamd ʿalā mā taqarrara fī qalb (CHECK),,,,,,
623,Risālat Ibn ʿArabī,,,,Unverified.,724,,,,,,,,,
40, R. Arḍ al-ḥaqīqa ,,,,Extract.,,,,,,,,,,
349,Kīmiyāʾ al-saʿāda li ahl al-irāda,,,,Unverified.,953,,,al-ḥamdu lillāh jawāb suʾāl sālahu aḥad al-sālat al-ikhwān (CHECK),,,,,,
238,Ḥizb al-aḥadiyya,,,,Probable IA.,1010,,,wa rabbunā al-fattāḥ al-ʿalīm wa-qāla rabbukum adʿūnī istajaba lakum,,,,,,
773,Tawajjuh waqt al-saḥar,,,,Unverified.,1164,,,,,,,,,
275,Ikhtiṣār al-muḥallā,,5,4,Not IA.,,,,,,,,,,
11,K. al-Aḥadīth al-qudsiyya ,,,,OY duplicate,,,,,,,,,,
15,Aḥkam siniyy al-ʿālam,,,,Unverified.,,,,,,,,,,
16,Aḥwāl al-anbiyāʾ,,155,140,Extract.,,,,,,,,,,
16.1,Aḥzab wa awrād,,,,Extract.,,,,,,,,,,
19,ʿAyn al-ḥayāt,,,,Not IA.,,,,,,,,,,
24,K. Alf maqām,,,,Not IA.,,,,,,,,,,
25,K. al-Alfiyya,,,,Not IA.,,,,,,,,,,
32,Al-anwār al-qudsiyya fī bayān qawāʾid al-ṣufiyya,,,,Not IA.,,,,,,,,,,
35,K. al-Aqṭāb,,,,Verified B,<638?,Y,,,,,,,,
38,K. al-Arbaʿīn ḥadīthan,,32,31,Not IA.,,,,,,,,,,
41.1,R. fi al-Arwāḥ,,143,133,Unverified.,,,,,,,,,,
43,K. al-Asmāʾ,,172,161,No mss.,,,,,,,,,,
45,K. al-Asrār,,278,,OY duplicate.,,,,,,,,,,
47,K. Asrār al-ḥurūf,,285,,OY duplicate.,,,,tanbīh ʿalā baʿd asrār al-ḥurūf al-muʿjam fī al-manẓūm,,,,,,
66,K. al-Awwaliyyāt,,,,,,,,,,,,,,
72,"Bāb fī al-tawḥīd
",,,,Extract.,,,,,,,,,,
80,Baqiyyāt risālat al-radd ʿalā al-yahūd,,,,Not IA.,,,,,,,,,,
81,R. fī al-Barzakh,,,,Extract.,,,,,,,,,,
90,K. al-Bughya fī ikhtiṣār al-Ḥilya,,44,43,Not IA.,,,,,,,,,,
116.2,"R. al-Dhikr
",,,,Not IA.,,,,al-ḥamdu lillāh nūr al-samawāt wa-l-arḍ jāʿil al-khalīfa Abū Bashar ṣāliḥan lil-ʿarḍ,,,,,,
131,Faṣl fī bayān al-ashkāl al-sabʿa,,,,Not IA.,,,,,,,,,,
131.1,Faṣl min kalām al-shaykh al-akbar,,,,Extract.,,,,,,,,,,
132,Faṣl mufīd fī tafsīr Fātiḥat al-Kitāb,,,,Verified A,630,,C,,,,,,,
150.1,Al-Fuṣūl wa al-fawāʾid,,,,OY duplicate.,,,,,,,,,,
156,Jadwal al-ḥaḍarāt al-ilāhiyya,,,,Extract.,,,,,,,,,,
188.1,al-Juzʾ al-awwal min tafsīr kalām Allāh taʿālā,,,,Probable IA.,977,Y?,,,,,,,,
43.1,R. al-Asmāʾ al-ilāhiyya,,,,Extract.,,,,,,,,,,
152,Al-Futūḥāt al-Madaniyya,,,,Unverified.,975,,,,,,,,,
390,R. al-Maḥabba,,,,Extract.,,,,,,,,,,
302.1,Irshād al-ṭālibīn wa tanbīh al-murīdīn,,,,Not IA.,,,,,,,,,,
730,Tafsīr baʿḍ ayāt al-Qurʾān,,,,Not IA.,,,,,,,,,,
766,Taqsīm al-nuʿut al-ilāhiyya,,,,Unverified.,875,,,,,,,,,
337,Kashf al-kunūz,,,,Not IA.,,,,,,,,,,
536,K. Natāʾij al-adhkār,,197,189,Verified A,667,,C,"al-ḥamdu lillāh rabbi al-ʿālamīn wa-l-ʿāqibatihi lil-muttaqīn, wa-lā ḥawla… Aqūlu dhākiran tāliyan Rabbi ishraḥ lī… ",,,,,,
277,Ikhtiṣār al-Tirmidhī,,,2,No mss.,,,,,,,,,,
478,K. al-Miṣbah fī al-jamʿ bayna al-ṣiḥāḥ,,,3,No mss.,,,,,,,,,,
273,Al-iḥtifāl fī ma kāna ʿalayhi rasūl Allāh min sanī al-aḥwal,,6,5,No mss.,,,,,,,,,,
